,Rank,Year,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom (Life Choices),Trust (Government Corruption),Donations to Charity
0,1,2022,Finland,Western Europe,7.821,1.892,1.258,0.775,0.736,0.534,0.109
1,2,2022,Denmark,Western Europe,7.636,1.953,1.243,0.777,0.719,0.532,0.188
2,3,2022,Iceland,Western Europe,7.557,1.936,1.32,0.803,0.718,0.191,0.27
3,4,2022,Switzerland,Western Europe,7.512,2.026,1.226,0.822,0.677,0.461,0.147
4,5,2022,Netherlands,Western Europe,7.415,1.945,1.206,0.787,0.651,0.419,0.271
5,6,2022,Luxembourg,Western Europe,7.404,2.209,1.155,0.79,0.7,0.388,0.12
6,7,2022,Sweden,Western Europe,7.384,1.92,1.204,0.803,0.724,0.512,0.218
7,8,2022,Norway,Western Europe,7.365,1.997,1.239,0.786,0.728,0.474,0.217
8,9,2022,Israel,Middle East and Northern Africa,7.364,1.826,1.221,0.818,0.568,0.143,0.155
9,10,2022,New Zealand,Australia and New Zealand,7.2,1.852,1.235,0.752,0.68,0.483,0.245
10,11,2022,Austria,Western Europe,7.163,1.931,1.165,0.774,0.623,0.329,0.193
11,12,2022,Australia,Australia and New Zealand,7.162,1.9,1.203,0.772,0.676,0.341,0.258
12,13,2022,Ireland,Western Europe,7.041,2.129,1.166,0.779,0.627,0.408,0.19
13,14,2022,Germany,Western Europe,7.034,1.924,1.088,0.776,0.585,0.358,0.163
14,15,2022,Canada,North America,7.025,1.886,1.188,0.783,0.659,0.368,0.217
15,16,2022,United States,North America,6.977,1.982,1.182,0.628,0.574,0.177,0.22
16,17,2022,United Kingdom,Western Europe,6.943,1.867,1.143,0.75,0.597,0.329,0.289
17,18,2022,Czech Republic,Central and Eastern Europe,6.92,1.815,1.26,0.715,0.66,0.048,0.158
18,19,2022,Belgium,Western Europe,6.805,1.907,1.106,0.764,0.492,0.204,0.049
19,20,2022,France,Western Europe,6.687,1.863,1.219,0.808,0.567,0.266,0.07
20,21,2022,Bahrain,Middle East and Northern Africa,6.647,1.854,1.029,0.625,0.693,0.155,0.199
21,22,2022,Slovenia,Central and Eastern Europe,6.63,1.81,1.249,0.769,0.685,0.115,0.118
22,23,2022,Costa Rica,Latin America and Caribbean,6.582,1.584,1.054,0.744,0.661,0.102,0.089
23,24,2022,United Arab Emirates,Middle East and Northern Africa,6.576,1.998,0.98,0.633,0.702,0.25,0.204
24,25,2022,Saudi Arabia,Middle East and Northern Africa,6.523,1.87,1.092,0.577,0.651,0.18,0.078
25,26,2022,Taiwan,Eastern Asia,6.512,1.897,1.095,0.733,0.542,0.168,0.075
26,27,2022,Singapore,Southeastern Asia,6.48,2.149,1.127,0.851,0.672,0.587,0.163
27,28,2022,Romania,Central and Eastern Europe,6.477,1.719,1.006,0.655,0.605,0.006,0.039
28,29,2022,Spain,Western Europe,6.476,1.808,1.211,0.808,0.505,0.149,0.101
29,30,2022,Uruguay,Latin America and Caribbean,6.474,1.615,1.18,0.672,0.665,0.265,0.103
30,31,2022,Italy,Western Europe,6.467,1.834,1.052,0.801,0.412,0.059,0.085
31,32,2022,Kosovo,Central and Eastern Europe,6.455,1.362,0.949,0.569,0.599,0.035,0.309
32,33,2022,Malta,Western Europe,6.447,1.838,1.169,0.789,0.679,0.166,0.174
33,34,2022,Lithuania,Central and Eastern Europe,6.446,1.804,1.204,0.659,0.496,0.077,0.053
34,35,2022,Slovakia,Central and Eastern Europe,6.391,1.736,1.232,0.707,0.479,0.025,0.118
35,36,2022,Estonia,Central and Eastern Europe,6.341,1.793,1.232,0.728,0.689,0.333,0.123
36,37,2022,Panama,Latin America and Caribbean,6.309,1.715,1.107,0.709,0.592,0.051,0.049
37,38,2022,Brazil,Latin America and Caribbean,6.293,1.462,1.044,0.615,0.546,0.134,0.131
38,39,2022,Guatemala,Latin America and Caribbean,6.262,1.274,0.831,0.522,0.662,0.115,0.112
39,40,2022,Kazakhstan,Central and Eastern Europe,6.234,1.668,1.22,0.611,0.584,0.157,0.134
40,41,2022,Cyprus,Western Europe,6.221,1.815,0.909,0.819,0.448,0.062,0.123
41,42,2022,Latvia,Central and Eastern Europe,6.18,1.732,1.221,0.637,0.502,0.09,0.075
42,43,2022,Serbia,Central and Eastern Europe,6.178,1.55,1.086,0.658,0.546,0.088,0.219
43,44,2022,Chile,Latin America and Caribbean,6.172,1.651,1.08,0.748,0.46,0.069,0.124
44,45,2022,Nicaragua,Latin America and Caribbean,6.165,1.105,1.029,0.617,0.617,0.212,0.168
45,46,2022,Mexico,Latin America and Caribbean,6.128,1.552,0.886,0.623,0.621,0.115,0.092
